Code,Name,Color,Density,Modulus,Poisson,Sy,Su,SKU,TXT
Jacket,ElecLV-Jacket: MDPE Eltex K38-20,Black,940,200,0.4,25,25,,
Braid,ElecLV-Braid: Kevlar Braid,Tan,1440,0,0,0,0,,
ArmTape,ElecLV-ArmTape Galvanized Steel Wire,SlateGray,7850,210000,0.33,750,440,,
ArmWire,ElecLV-ArmWire: Galvanized Steel Wire,SlateGray,7850,210000,0.33,750,440,,
Bedding,ElecLV-Bedding: MDPE Natural,LightGray,938,191,0.46,10.05,10.05,,
Tape3,ElecLV-Tape3: Water Blocking Swell Tape,Green,850,200,0.4,20,20,,
Screen3,ElecLV-Screen3: Cu-Tape,OrangeRed,8890,97200,0.16,163.5,236.4,,
Tape2,ElecLV-Tape2: Water Blocking Swell Tape,Green,850,200,0.4,20,20,,
Screen2,ElecLV-Screen2: XLPe Semicond,Black,940,800,0.4,20,20,,
Insulation2,ElecLV-Insulation2: XLPe Tree Retardant,LightGray,940,800,0.4,20,20,,
Screen1,ElecLV-Screen1: Cu-Tape,OrangeRed,5000,0,0.34,100,100,,
Tape1,ElecLV-Tape1: LLDPE Tape,LightCyan,0,0,0,0,0,,
Belting,ElecLV-Belting: MDPE Eltex K38-20,LightGray,938,191,0.46,10.05,10.05,,
Fill1,ElecLV-Fill1: Nylon BES Noir PR,Black,1050,405,0.47,23.9,23.9,,
Fill0,ElecLV-Fill0: Nylon BES Noir PR,Black,1050,405,0.47,23.9,23.9,,
Insulation1,ElecLV-Insulation1: EPC Pro-Fax EP315J,Black,902,1158,0.41,18.68,9.5,,
Strand,ElecLV-Strand: Cu,OrangeRed,8960,49770,0.36,177.64,246.5,,
Strand25,ElecLV-Strand: Cu,OrangeRed,8960,49770,0.36,177.64,246.5,,
Strand40,ElecLV-Strand: Cu,OrangeRed,8960,49770,0.36,177.64,246.5,,
Strand60,ElecLV-Strand: Cu,OrangeRed,8960,49770,0.36,177.64,246.5,,
Strand100,ElecLV-Strand: Cu,OrangeRed,8960,49770,0.36,177.64,246.5,,
Strand160,ElecLV-Strand: Cu,OrangeRed,8960,49770,0.36,177.64,246.5,,
Strand250,ElecLV-Strand: Cu,OrangeRed,8960,49770,0.36,177.64,246.5,,
Strand350,ElecLV-Strand: Cu,OrangeRed,8960,49770,0.36,177.64,246.5,,
