BR,US,UK,Category,Kind,Name,ColorName,SKU,TXT,Density,EA,EI,GJ,MaxTension,MBR,FibreQty,TubeID,TubeTh,BedTh,WireDia,WireQty,WireAlpha,JacketTh
,,x,Nexans,OD10.0 F12,Nexan Unit-FO2.3,Red,,,0.1575,2.19379,0.00065,0.00253,5,300,12,1.9,0.2,1.275,0.9,17,12,1.675
,,x,Nexans,OD10.0 F24,Nexan Unit-FO3.0,Red,,,0.174,2.89129,0.00086,0.00168,5,300,24,2.6,0.2,1.1,0.9,20,12,1.5
,,x,Nexans,OD11.3 F48,Nexan Unit-FO3.7,Red,,,0.201,3.59246,0.00158,0.00302,5,300,48,3.2,0.25,1.4,0.9,24,12,1.5
,,x,Nexans,OD12.0 F24 ,Nexan G24-QERE-R0.9,Red,,,0.225,3.41782,0.00132,0.00281,5,420,24,2.6,0.2,1.75,0.9,24,12,1.85
,,x,Nexans,OD10.9 F24,Nexan G24-QERE-R0.9,Black,,,0.18,2.90502,0.00105,0.00181,5,500,24,2.6,0.2,1.1,0.9,20,12,1.95
,,x,Nexans,OD10.9 F27,Nexan G27-QERE-R0.9,Black,,,0.18,2.90502,0.00105,0.00181,5,500,24,2.6,0.2,1.1,0.9,20,12,1.95
,,x,AFL,OD11.1 F96,AFL DNS-8623,Black,,,0.2569,4.62755,0.00436,0.00741,23.435,560,96,5,0.3,0.7,1.02,23,12,1.03
,,x,AFL,OD10.9 F96,AFL DNS-8622,Black,,,0.1941,3.08554,0.00146,0.00199,15.399,380,96,3.4,0.2,0.39,1.02,16,12,2.15
,,x,AFL,OD10.5 F8,AFL DNS-50540,Black,,,0.1841,3.00358,0.00106,0.00169,15.119,320,8,2.8,0.2,0.69,1.02,16,12,1.95
,,x,AFL,OD8.8 F8,AFL DNS-50552,Blue,,,0.1576,2.98225,0.00081,0.00151,15.119,320,8,2.8,0.2,0.69,1.02,16,12,1.1
,,x,AFL,OD10.0 F48,AFL DNS-50610,Black,,,0.1794,3.04788,0.00117,0.00178,15.306,360,48,3.2,0.2,0.49,1.02,16,12,1.7
,,x,AFL,OD14.0 F36,AFL DNS-50611,Black,,,0.2496,3.05979,0.00213,0.00244,15.119,320,36,2.8,0.2,0.69,1.02,16,12,3.7
,,x,AFL,OD10.9 F16,AFL DNS-50723,Black,,,0.1891,3.00931,0.00114,0.00174,15.119,320,16,2.8,0.2,0.69,1.02,16,12,2.15
,,x,AFL,OD10.9 F16,AFL DNS-50725,Black,,,0.1891,3.00931,0.00114,0.00174,15.119,320,16,2.8,0.2,0.69,1.02,16,12,2.15
,,x,AFL,OD8.8 F8,AFL DNS-50749,Black,,,0.1579,2.98225,0.00081,0.00151,15.119,320,8,2.8,0.2,0.69,1.02,16,12,1.1
,,x,AFL,OD10.9 F8,AFL DNS-50750,Black,,,0.1892,3.00931,0.00114,0.00174,15.119,320,8,2.8,0.2,0.69,1.02,16,12,2.15
,,x,AFL,OD9.0 F8,AFL DNS-50793,Black,,,0.1606,2.98458,0.00083,0.00153,15.119,320,8,2.8,0.2,0.69,1.02,16,12,1.2
,,x,AFL,OD10.0 F8,AFL DNS-50823,Black,,,0.1747,2.99701,0.00097,0.00163,15.119,320,8,2.8,0.2,0.69,1.02,16,12,1.7
,,x,AFL,OD10.0 F24,AFL DNS-50839,Black,,,0.1752,2.99701,0.00097,0.00163,15.119,320,24,2.8,0.2,0.69,1.02,16,12,1.7
,,x,AFL,OD8.0 F12,AFL DNS-50946,Black,,,0.1435,2.81446,0.00073,0.00129,14.261,320,12,2.8,0.2,0.5,1.02,15,12,0.88
,,x,AFL,OD8.0 F8,AFL DNS-50947,Black,,,0.1434,2.81446,0.00073,0.00129,14.261,320,8,2.8,0.2,0.5,1.02,15,12,0.88
,x,,AFL,OD9.4 F12,AFL DNS-50946,Blue,477475,CABLE FIBER OPTIC ARMORED 12 SM FIBERS AFL BLUE OD 9.4MM PR,0.1435,2.81446,0.00073,0.00129,14.261,320,12,2.8,0.2,0.5,1.02,15,12,1.58
,x,,AFL,OD9.4 F12,AFL DNS-50946,Red,477476,CABLE FIBER OPTIC ARMORED 12 SM FIBERS AFL RED OD 9.4MM PRO,0.1434,2.81446,0.00073,0.00129,14.261,320,8,2.8,0.2,0.5,1.02,15,12,1.58
,x,,AFL,OD9.4 F12,AFL DNS-50946,Black,477474,CABLE FIBER OPTIC ARMORED 12 SM FIBERS AFL BLACK OD 9.4MM P,0.1435,2.81446,0.00073,0.00129,14.261,320,12,2.8,0.2,0.5,1.02,15,12,1.58
,,,NSW,OD10.9 F12,NSW 12SM Standard,Black,,,0.28,2.6,0.00266,0.00352,8,800,12,5,0.1,0,1,18,12,1.9
,,,NSW,OD10.9 F24,NSW 24SM Standard,Black,,,0.28,2.6,0.00266,0.00352,8,800,24,5,0.1,0,1,18,12,1.9
,,,NSW,OD10.9 F36,NSW 36SM Standard,Black,,,0.28,2.6,0.00266,0.00352,8,800,36,5,0.1,0,1,18,12,1.9
,,,NSW,OD12 F12,NSW 12SM High Strength,Black,,,0.4,4.7,0.00452,0.00357,15,800,12,5,0.1,0,1.7,12,12,1.7
